Part,Value,Digikey#
A1,BMD-200,1604-1004-1-ND
BAT1,CR2032,BK-912-ND
C1,100u,490-4539-1-ND
C2,0u1,490-1532-1-ND
C3,12p,490-1405-1-ND
C4,12p,490-1405-1-ND
C5,10u,490-6405-1-ND
C6,1u,490-1543-1-ND
C7,0u1,490-1532-1-ND
C8,10u,490-6405-1-ND
C9,1u,490-1543-1-ND
C10,1u,490-1543-1-ND
C11,4n7,1276-1098-1-ND
C12,4n7,1276-1098-1-ND
C13,12p,490-1405-1-ND
C14,0u1,490-1532-1-ND
D1,GR,475-2709-1-ND
D2,YL,475-2712-1-ND
MK1,SPU0414,423-1134-1-ND
R1,6k8,RMCF0603JT6K80CT-ND
R2,1k,311-1.0KGRCT-ND
R3,1k,311-1.0KGRCT-ND
R4,6k8,RMCF0603JT6K80CT-ND
R5,100k,311-100KGRCT-ND
R6,100k,311-100KGRCT-ND
R7,100k,311-100KGRCT-ND
R8,1k,311-1.0KGRCT-ND
R9,1k,311-1.0KGRCT-ND
R10,1k,311-1.0KGRCT-ND
S1,DPDT,401-2002-1-ND
S2,TACT6mm,CKN9087CT-ND
U1,AT25M02,AT25M02-SSHM-TCT-ND
U2,LP2985LV,296-18474-1-ND
U3,MCP6231,MCP6231T-E/OTCT-ND
U4,PCF85263,568-12405-1-ND
Y1,32768Hz,535-11937-1-ND
Y2,32768Hz,535-11937-1-ND
